,time,reward_mean,reward_std
0,2.579,7.717,3.724
1,2.44,4.172,1.269
2,2.442,5.866,4.341
3,2.458,6.722,3.736
4,2.4,8.839,3.701
5,2.395,10.738,1.94
6,2.457,8.039,2.585
7,2.403,12.025,2.341
8,2.342,12.752,1.359
9,2.327,13.703,0.616
10,2.434,12.136,2.369
11,2.419,13.787,1.966
12,2.477,15.135,0.534
13,2.458,15.283,0.605
14,2.423,15.125,0.265
15,2.43,14.915,0.974
16,2.398,13.865,0.875
17,2.48,13.739,1.859
18,2.419,14.976,0.643
19,2.405,15.174,0.206
20,2.399,15.64,0.267
21,2.448,14.834,0.516
22,2.445,14.753,0.893
23,2.409,14.552,1.795
24,2.471,15.389,0.261
25,2.294,14.228,2.38
26,2.424,15.479,0.148
27,2.523,14.86,1.208
28,2.499,15.026,0.67
29,2.398,14.99,1.049
30,2.436,15.37,0.403
31,2.473,14.913,0.66
32,2.342,15.205,0.287
33,2.356,13.925,1.683
34,2.347,14.86,1.559
35,2.46,13.174,1.632
36,2.44,15.4,0.287
37,2.35,15.522,0.102
38,2.387,15.668,0.122
39,2.445,15.484,0.165
40,2.425,14.724,1.29
41,2.288,14.802,1.544
42,2.492,15.655,0.12
43,2.489,15.305,0.18
44,2.418,15.02,0.833
45,2.378,14.992,0.806
46,2.397,15.152,1.057
47,2.326,15.542,0.226
48,2.351,15.581,0.165
49,2.449,15.447,0.13
50,2.35,15.025,0.777
51,2.354,15.52,0.33
52,2.446,15.593,0.06
53,2.284,14.25,2.158
54,2.501,15.646,0.4
55,2.44,15.461,0.525
56,2.488,15.38,0.244
57,2.465,15.32,0.152
58,2.46,15.183,0.758
59,2.441,14.474,2.236
60,2.464,15.446,0.228
61,2.389,15.651,0.052
62,2.534,15.807,0.046
63,2.381,15.581,0.058
64,2.447,15.155,0.794
65,2.435,15.471,0.221
66,2.269,14.644,1.187
67,2.336,15.295,0.582
