,time,reward_mean,reward_std
0,192.26409077644348,0.162,0.683
1,1111.2760150432587,-0.102,1.008
2,2032.087874174118,-0.105,0.582
3,2947.824096918106,-0.925,0.824
4,3866.1619675159454,-0.06,1.115
5,4788.883043527603,0.113,0.624
6,5715.061179637909,-0.425,0.565
7,6646.892055749893,0.295,0.129
8,7568.147109746933,0.712,0.548
9,8492.001954317093,-1.5,0.578
10,9409.417350769043,-0.115,0.986
11,10332.138486623764,0.423,0.484
12,11257.655163764954,0.11,0.084
13,12193.50836110115,0.218,0.711
14,13111.35322189331,-0.322,0.637
15,14033.03668165207,-0.328,0.629
16,14948.922695159912,-0.075,0.552
17,15873.322520256042,-0.027,0.556
18,16787.19997692108,-0.03,0.485
19,17717.16651558876,-0.142,0.477
20,18639.237507104874,-0.542,0.409
21,19558.32298731804,-0.34,0.736
22,20481.308851718903,0.102,1.123
23,21394.260835647583,-0.328,0.456
24,22306.426968812943,-0.055,0.635
25,23236.270243883133,0.165,0.039
26,24159.348296165466,-0.112,0.735
27,25078.749138832092,0.117,0.919
28,25994.968950748444,-0.087,0.951
29,26906.16434073448,0.108,0.879
30,27822.65147948265,0.475,0.503
31,28746.079891443253,-0.188,0.47
32,29660.157793045044,0.24,0.793
33,30582.058208227158,0.23,0.769
34,31501.044615983963,-0.242,0.545
35,32423.749065876007,-0.412,0.618
36,33346.705223083496,-0.005,0.95
37,34271.5313808918,-0.455,0.634
38,35195.06991934776,0.193,0.102
39,36123.93379282951,-0.12,0.53
40,37045.377947092056,0.335,0.829
41,37970.320707559586,-0.115,0.61
42,38885.99192261696,0.178,0.835
43,39803.8108818531,-0.422,1.002
44,40720.9231865406,-0.267,0.668
45,41636.6508769989,-0.685,0.578
46,42547.062573194504,-0.143,0.408
47,43460.25181388855,0.267,0.489
48,44370.45344686508,-0.087,0.442
49,45284.68703722954,-0.137,0.593
50,46198.69867730141,-0.662,0.55
51,47112.12115287781,-0.713,1.063
52,48030.62070798874,0.138,0.133
53,48949.644728899,0.015,0.079
54,49868.554039001465,0.185,0.191
55,50785.42706370354,0.115,0.999
56,51700.239493370056,-0.41,1.049
57,52626.000386953354,-0.14,0.578
58,53557.09300708771,-0.45,0.539
59,54474.3433368206,0.058,0.862
60,55397.04441809654,-0.2,0.652
61,56322.585576057434,0.39,0.945
62,57234.125438928604,-0.06,0.554
63,58146.438600063324,0.05,0.623
64,59060.3393406868,-0.573,0.693
65,59971.59864616394,-0.335,0.567
66,60882.742707014084,0.237,0.111
67,61800.03773331642,-0.232,0.628
68,62712.87826251984,-0.342,0.602
69,63624.104952812195,0.41,0.548
70,64538.81258773804,0.215,0.222
71,65447.53294634819,-0.31,0.703
72,66363.06860733032,-0.1,0.596
73,67289.33470129967,0.152,0.064
74,68209.1755168438,0.055,0.5
75,69121.64473199844,0.083,0.841
76,70033.66788291931,0.532,0.419
77,70946.7718744278,0.64,0.579
78,71864.79128408432,-0.095,0.583
79,72799.8533244133,-0.338,0.553
80,73713.71933937073,-0.145,0.776
81,74624.33924102783,0.03,0.089
82,75538.04019379616,-0.19,0.704
83,76455.44684362411,-0.367,0.7
84,77376.81158709526,-0.575,0.711
85,78300.76111960411,0.02,0.591
86,79220.85634088516,0.108,0.094
87,80132.14560317993,0.362,1.072
88,81049.80703783035,0.243,0.772
89,81973.47288632393,-0.38,0.544
90,82889.04001879692,0.098,0.203
91,83807.79595971107,-0.317,0.606
92,84710.86504673958,0.498,0.848
93,85622.66032719612,0.065,0.863
94,86543.49852228165,0.177,0.087
95,87467.53474473953,-0.38,0.766
96,88391.7835264206,0.237,0.108
97,89311.74807286263,0.225,1.0
98,90222.71599268913,0.158,0.121
99,91141.72646570206,-0.135,0.556
100,92068.72393774986,-0.865,0.148
101,92989.87550115585,0.0,0.86
102,93904.05301642418,-0.58,0.926
103,94832.95810222626,-0.493,0.634
104,95751.86105704308,-0.665,0.539
105,96669.56553792953,0.053,0.13
106,97593.71280050278,-0.25,0.66
107,98519.18268823624,-0.147,0.596
108,99437.7821290493,0.145,0.188
109,100376.87263250351,0.045,0.872
110,101296.84296011925,-0.172,0.561
111,102211.34905290604,-0.588,0.955
112,103124.56694841385,-0.488,0.669
113,104043.27002978325,0.125,0.062
114,104970.75327658653,-0.095,0.507
115,105897.51236748695,0.02,0.605
116,106825.48956608772,-0.695,0.52
117,107749.14683651924,-0.43,0.646
118,108675.12445187569,0.185,0.779
119,109597.87594556808,-0.292,0.557
120,110525.75713658333,-0.568,0.49
121,111457.7922782898,-0.385,0.507
122,112383.11245465279,-0.422,0.712
123,113288.14468336105,-0.24,0.691
124,114179.17206025124,-0.625,0.541
125,115072.54894948006,-0.182,0.484
126,115963.2619562149,0.448,0.469
127,116861.43552589417,-0.045,0.465
128,117748.7040309906,0.113,0.748
129,118635.38392472267,-0.277,0.662
130,119526.36634397507,0.432,0.651
131,120413.46100997925,0.348,0.451
132,121307.02265667915,-0.71,1.011
133,122214.1089360714,0.348,0.619
134,123130.14350271225,0.182,0.837
135,124051.43970894814,0.173,0.087
136,124965.49736452103,0.745,0.639
137,125869.49798679352,-0.085,0.698
138,126786.18720293045,0.245,0.156
139,127703.05903601646,-0.352,0.65
140,128626.4309618473,0.163,0.882
141,129552.7822959423,-0.32,0.712
142,130466.36895084381,-0.755,0.582
143,131384.05702662468,0.463,0.56
