,time,reward_mean,reward_std
0,192.26409077644348,0.162,0.683
1,1111.2760150432587,-0.102,1.008
2,2032.087874174118,-0.105,0.582
3,2947.824096918106,-0.925,0.824
4,3866.1619675159454,-0.06,1.115
5,4788.883043527603,0.113,0.624
6,5715.061179637909,-0.425,0.565
7,6646.892055749893,0.295,0.129
8,7568.147109746933,0.712,0.548
9,8492.001954317093,-1.5,0.578
10,9409.417350769043,-0.115,0.986
11,10332.138486623764,0.423,0.484
12,11257.655163764954,0.11,0.084
13,12193.50836110115,0.218,0.711
14,13111.35322189331,-0.322,0.637
15,14033.03668165207,-0.328,0.629
16,14948.922695159912,-0.075,0.552
17,15873.322520256042,-0.027,0.556
18,16787.19997692108,-0.03,0.485
19,17717.16651558876,-0.142,0.477
20,18639.237507104874,-0.542,0.409
21,19558.32298731804,-0.34,0.736
22,20481.308851718903,0.102,1.123
23,21394.260835647583,-0.328,0.456
24,22306.426968812943,-0.055,0.635
25,23236.270243883133,0.165,0.039
26,24159.348296165466,-0.112,0.735
27,25078.749138832092,0.117,0.919
28,25994.968950748444,-0.087,0.951
29,26906.16434073448,0.108,0.879
30,27822.65147948265,0.475,0.503
31,28746.079891443253,-0.188,0.47
32,29660.157793045044,0.24,0.793
33,30582.058208227158,0.23,0.769
34,31501.044615983963,-0.242,0.545
35,32423.749065876007,-0.412,0.618
36,33346.705223083496,-0.005,0.95
37,34271.5313808918,-0.455,0.634
38,35195.06991934776,0.193,0.102
39,36123.93379282951,-0.12,0.53
40,37045.377947092056,0.335,0.829
41,37970.320707559586,-0.115,0.61
42,38885.99192261696,0.178,0.835
43,39803.8108818531,-0.422,1.002
44,40720.9231865406,-0.267,0.668
45,41636.6508769989,-0.685,0.578
46,42547.062573194504,-0.143,0.408
47,43460.25181388855,0.267,0.489
48,44370.45344686508,-0.087,0.442
49,45284.68703722954,-0.137,0.593
50,46198.69867730141,-0.662,0.55
51,47112.12115287781,-0.713,1.063
52,48030.62070798874,0.138,0.133
53,48949.644728899,0.015,0.079
54,49868.554039001465,0.185,0.191
55,50785.42706370354,0.115,0.999
56,51700.239493370056,-0.41,1.049
57,52626.000386953354,-0.14,0.578
58,53557.09300708771,-0.45,0.539
59,54474.3433368206,0.058,0.862
60,55397.04441809654,-0.2,0.652
61,56322.585576057434,0.39,0.945
62,57234.125438928604,-0.06,0.554
63,58146.438600063324,0.05,0.623
64,59060.3393406868,-0.573,0.693
65,59971.59864616394,-0.335,0.567
66,60882.742707014084,0.237,0.111
67,61800.03773331642,-0.232,0.628
68,62712.87826251984,-0.342,0.602
