,time,reward_mean,reward_std
0,67.83248138427734,-0.82,0.639
1,373.53002738952637,-0.47,0.754
2,673.770486831665,-0.85,0.328
3,974.196191072464,-0.603,0.803
4,1273.7744510173798,-0.705,0.451
5,1573.334532737732,-0.4,0.519
6,1873.1361804008484,-0.285,0.503
7,2176.267381668091,-0.013,0.021
8,2475.9362304210663,-0.5,0.514
9,2776.14621591568,-0.973,0.163
10,3076.5385823249817,-0.497,0.629
11,3377.398197412491,0.07,0.136
12,3677.764460325241,-0.708,0.796
13,3980.424165725708,-0.057,0.428
14,4280.475077629089,-0.833,0.334
15,4581.071778297424,-0.568,0.565
16,4881.771306753159,-0.725,0.599
17,5181.949682474136,-0.272,0.592
18,5482.376074790955,-1.203,0.801
19,5785.413442134857,-0.51,0.708
20,6085.625267505646,-0.54,0.799
21,6385.480590105057,-0.323,0.432
22,6685.763392925262,-0.765,0.594
23,6985.597797632217,-0.555,0.646
24,7286.935145378113,-0.527,0.623
25,7589.573588609695,-0.568,0.526
26,7890.190549612045,-0.365,0.758
27,8190.133708000183,-0.79,0.842
28,8490.50131893158,-0.435,0.703
29,8790.755111694336,-1.185,1.07
30,9090.90720820427,-0.85,0.774
31,9394.430122613907,-0.773,0.861
32,9694.752284526825,-1.177,0.586
33,9994.821135759354,-0.57,0.441
34,10294.509917974472,-0.705,0.492
35,10595.183169841766,-0.145,0.445
36,10893.46797156334,-0.422,0.722
37,11195.113292455673,-0.777,1.004
38,11494.35737657547,-0.053,0.124
39,11792.670098543167,-0.367,0.856
40,12090.225519657135,-0.118,0.538
41,12388.238572359085,-0.76,0.785
42,12686.246557712555,-0.645,0.957
43,12987.856755971909,-0.297,0.413
44,13285.786896467209,-0.578,0.617
45,13584.123321771622,-0.432,0.619
46,13882.157891750336,-0.138,0.288
47,14180.232963085175,-0.973,0.724
48,14477.89228630066,-0.307,0.441
49,14779.49274277687,-0.305,0.524
50,15077.85380911827,-0.238,0.402
51,15376.483598709106,-0.15,0.137
52,15674.938133001328,-0.8,0.639
53,15972.131568908691,-0.402,0.529
54,16270.640990018845,-0.068,1.3
55,16571.63606762886,-0.13,0.371
56,16869.612194538116,-0.62,0.641
57,17168.231395959854,-0.182,0.62
58,17466.07662653923,-0.782,0.761
59,17764.094124555588,-0.455,0.371
60,18061.467481851578,-0.405,0.509
61,18361.801848888397,0.06,0.925
62,18659.263242959976,-0.432,0.443
