,time,reward_mean,reward_std
0,67.83248138427734,-0.82,0.639
1,373.53002738952637,-0.47,0.754
2,673.770486831665,-0.85,0.328
3,974.196191072464,-0.603,0.803
4,1273.7744510173798,-0.705,0.451
5,1573.334532737732,-0.4,0.519
6,1873.1361804008484,-0.285,0.503
7,2176.267381668091,-0.013,0.021
8,2475.9362304210663,-0.5,0.514
9,2776.14621591568,-0.973,0.163
10,3076.5385823249817,-0.497,0.629
11,3377.398197412491,0.07,0.136
12,3677.764460325241,-0.708,0.796
13,3980.424165725708,-0.057,0.428
14,4280.475077629089,-0.833,0.334
15,4581.071778297424,-0.568,0.565
16,4881.771306753159,-0.725,0.599
17,5181.949682474136,-0.272,0.592
18,5482.376074790955,-1.203,0.801
19,5785.413442134857,-0.51,0.708
20,6085.625267505646,-0.54,0.799
21,6385.480590105057,-0.323,0.432
22,6685.763392925262,-0.765,0.594
23,6985.597797632217,-0.555,0.646
24,7286.935145378113,-0.527,0.623
25,7589.573588609695,-0.568,0.526
26,7890.190549612045,-0.365,0.758
27,8190.133708000183,-0.79,0.842
28,8490.50131893158,-0.435,0.703
29,8790.755111694336,-1.185,1.07
30,9090.90720820427,-0.85,0.774
31,9394.430122613907,-0.773,0.861
32,9694.752284526825,-1.177,0.586
33,9994.821135759354,-0.57,0.441
34,10294.509917974472,-0.705,0.492
35,10595.183169841766,-0.145,0.445
36,10893.46797156334,-0.422,0.722
37,11195.113292455673,-0.777,1.004
38,11494.35737657547,-0.053,0.124
39,11792.670098543167,-0.367,0.856
40,12090.225519657135,-0.118,0.538
41,12388.238572359085,-0.76,0.785
42,12686.246557712555,-0.645,0.957
43,12987.856755971909,-0.297,0.413
44,13285.786896467209,-0.578,0.617
45,13584.123321771622,-0.432,0.619
46,13882.157891750336,-0.138,0.288
47,14180.232963085175,-0.973,0.724
48,14477.89228630066,-0.307,0.441
49,14779.49274277687,-0.305,0.524
50,15077.85380911827,-0.238,0.402
51,15376.483598709106,-0.15,0.137
52,15674.938133001328,-0.8,0.639
53,15972.131568908691,-0.402,0.529
54,16270.640990018845,-0.068,1.3
55,16571.63606762886,-0.13,0.371
56,16869.612194538116,-0.62,0.641
57,17168.231395959854,-0.182,0.62
58,17466.07662653923,-0.782,0.761
59,17764.094124555588,-0.455,0.371
60,18061.467481851578,-0.405,0.509
61,18361.801848888397,0.06,0.925
62,18659.263242959976,-0.432,0.443
63,18957.494050979614,-0.145,0.654
64,19254.763550519943,-0.975,0.206
65,19552.756057739258,-0.593,0.581
66,19850.488747119904,-1.363,0.874
67,20150.67627930641,-0.79,0.639
68,20448.449335575104,-0.698,0.642
69,20746.312832593918,-0.228,0.386
70,21044.22584605217,-0.763,0.35
71,21342.39944434166,-1.077,0.141
72,21640.005723953247,-1.29,0.933
73,21940.470536231995,-1.005,0.198
74,22238.5392203331,-0.9,0.957
75,22536.08418059349,-0.623,0.806
76,22833.70658802986,-0.175,0.639
77,23132.347343444824,-0.065,0.582
78,23430.326625585556,-0.312,0.555
79,23730.924944639206,-0.79,0.865
80,24029.71607899666,-0.6,0.378
81,24327.118554592133,-0.33,0.48
82,24625.131784677505,-0.555,0.517
83,24923.02980685234,-0.833,0.568
84,25221.451450824738,-0.688,0.503
85,25521.837949037552,-0.96,0.844
86,25819.95602631569,-0.858,0.337
87,26118.181867599487,-1.058,0.184
88,26415.993857622147,-0.522,0.47
89,26713.370446681976,-0.27,0.474
90,27011.572506666183,-0.107,0.524
91,27312.023391723633,-0.65,0.704
92,27609.990021705627,-0.497,0.565
93,27907.942051887512,-0.548,0.652
94,28205.69204235077,-0.463,0.563
95,28503.60219144821,-1.095,0.688
96,28801.53676891327,-0.8,0.392
97,29102.433220148087,-0.278,0.524
98,29400.622889518738,-0.78,0.583
99,29698.25577878952,-0.903,0.42
100,29996.00302028656,-0.708,0.38
101,30293.722553491592,-0.417,0.662
102,30591.39837360382,-0.94,0.901
103,30891.76484465599,-0.392,0.399
104,31190.08813381195,0.23,0.17
105,31488.21202802658,-1.042,0.095
106,31785.783108472824,-0.902,0.506
107,32083.786090373993,-0.412,0.522
108,32381.80638217926,-0.363,0.475
109,32682.3392932415,-0.268,0.467
110,32980.32028579712,-0.66,0.58
111,33278.71377038956,-0.108,0.155
112,33576.80473566055,-0.417,0.675
113,33875.274267435074,-0.55,0.545
114,34173.20713877678,-0.28,0.46
115,34474.26301193237,-0.665,0.58
116,34772.208683013916,-0.55,0.543
117,35070.19995570183,-0.235,0.274
118,35367.92201924324,0.148,0.254
119,35666.18529057503,0.013,0.192
120,35964.542486429214,-0.405,0.499
121,36265.83794569969,-0.682,0.642
122,36564.3855612278,-0.305,0.537
123,36862.724430799484,-0.487,0.452
124,37160.927651166916,-0.53,0.419
125,37459.789675951004,-0.885,0.278
126,37758.30594420433,-0.432,0.694
127,38059.49691033363,-0.467,0.511
128,38357.8376019001,-0.175,0.471
129,38656.63089323044,-0.812,0.29
130,38954.9433195591,-0.508,0.665
131,39253.21791911125,-0.958,1.428
132,39551.48369193077,-0.362,0.564
133,39852.63621044159,-0.215,0.346
134,40150.96751499176,-1.065,0.941
135,40448.73016476631,-0.34,0.827
136,40748.03011703491,-0.815,0.324
137,41045.96347117424,-0.683,0.617
138,41344.175733566284,-1.005,0.8
139,41645.438730716705,-0.565,0.785
140,41943.630786418915,-0.96,0.977
141,42241.717886686325,-0.808,0.701
142,42539.70408630371,-0.205,0.38
143,42838.55121946335,-0.225,0.399
144,43136.969341278076,-0.475,0.606
145,43437.88793230057,-0.55,0.614
146,43735.97788786888,-0.47,0.585
147,44033.751197338104,-0.08,0.168
148,44331.886987924576,-0.75,0.552
149,44629.859402656555,-0.593,0.615
150,44928.71314954758,0.005,0.224
151,45229.36665272713,-0.235,0.488
152,45527.802644491196,-0.525,0.669
153,45826.36009764671,-1.005,0.091
154,46124.34596514702,-0.24,0.373
155,46421.9469730854,-0.493,0.554
156,46720.48731446266,-0.483,0.642
157,47021.01892256737,-0.192,0.625
158,47319.08938121796,-0.17,0.495
159,47617.49494552612,-0.258,0.547
160,47916.2116651535,-0.465,0.664
161,48214.07014656067,-0.69,0.858
162,48512.590373277664,-0.068,0.605
163,48813.218303442,-0.735,0.572
164,49111.428720235825,-0.318,0.571
165,49409.788593530655,-0.503,0.709
166,49708.477932453156,-0.235,0.521
167,50006.78763747215,-0.135,0.994
168,50304.58544778824,-0.43,0.705
169,50605.58148980141,-0.308,1.259
170,50903.83937191963,-0.472,0.612
171,51202.370440006256,-1.147,0.694
172,51500.77986240387,-0.268,0.37
173,51798.98238515854,0.087,0.18
174,52096.70113015175,-0.428,0.494
175,52397.8630566597,-0.2,1.004
176,52696.39164662361,-0.733,0.392
177,52994.84955906868,-0.882,0.846
178,53292.79839134216,-0.398,0.582
179,53591.784603357315,-0.492,0.615
180,53890.060435295105,-0.667,1.019
181,54190.86687421799,-0.398,0.698
182,54488.70971798897,-0.188,0.521
183,54786.97466421127,-0.675,0.536
184,55085.697749614716,-0.39,0.466
185,55383.42335295677,-0.51,0.517
186,55681.39257931709,-0.592,0.478
187,55982.0136756897,-0.802,0.52
188,56280.13783669472,-0.455,0.634
189,56578.41538643837,0.11,0.874
190,56876.43286681175,-0.435,0.788
191,57174.135608911514,-1.185,0.501
192,57471.89414358139,-0.253,0.598
193,57773.549713373184,-0.545,0.659
194,58071.83338904381,-0.515,0.925
195,58369.79289007187,-0.808,0.66
196,58668.240247011185,-0.28,0.433
197,58965.99053835869,-0.188,0.495
198,59264.20175027847,-0.573,1.038
199,59565.339364528656,-0.385,0.747
200,59863.88367342949,-0.422,0.568
201,60162.00452542305,-0.29,0.433
202,60459.982916116714,-0.807,0.369
203,60758.30347800255,-0.917,0.512
204,61056.9287006855,-0.313,0.556
205,61357.4350938797,-0.37,0.769
206,61655.79299068451,-0.542,0.508
207,61954.22218251228,-0.68,0.565
208,62252.834082365036,-0.568,0.682
209,62551.535915374756,-0.172,0.543
210,62850.32781147957,-0.365,0.521
211,63151.714007139206,0.01,0.96
212,63450.18987607956,-1.337,0.479
213,63748.35758161545,-0.443,0.616
214,64046.20578837395,-0.405,0.594
215,64344.07693743706,-0.943,0.478
216,64642.32324743271,-0.227,0.446
217,64943.266043424606,-0.383,0.482
218,65241.38112139702,-0.47,0.672
219,65539.69445824623,-1.38,1.389
220,65838.0694231987,-0.905,0.654
221,66136.5283074379,-0.172,0.431
222,66435.07387208939,-0.763,0.546
223,66736.16763663292,-0.122,0.52
224,67034.23575687408,-0.207,0.545
225,67332.4596016407,-0.795,0.899
226,67630.46003746986,-0.975,0.657
227,67928.59383511543,-0.23,0.535
228,68226.63986563683,-0.797,0.503
229,68527.2815861702,-0.35,0.707
230,68825.81458473206,-0.765,0.859
231,69123.88107943535,-0.808,0.334
232,69421.54487895966,-0.77,1.414
233,69720.1736073494,-0.28,0.614
234,70018.34831237793,-0.643,0.668
235,70319.39563035965,-0.112,0.495
236,70618.44025230408,-0.475,0.738
237,70915.98278212547,-0.403,0.504
238,71213.7755639553,-0.703,1.094
239,71511.98944807053,-0.502,1.101
240,71810.48252415657,0.033,0.365
241,72111.34154677391,-0.367,0.534
242,72408.88391256332,-0.917,0.829
243,72706.99235129356,-0.625,0.909
244,73005.13739848137,-0.645,0.477
245,73303.04844403267,-0.778,1.241
246,73601.30914402008,-0.685,0.511
247,73902.46980285645,-0.292,0.52
248,74200.84750413895,-0.31,0.611
249,74498.77245855331,-0.58,0.65
250,74797.11739325523,-0.55,0.629
251,75094.94120264053,-0.242,0.576
252,75392.83726763725,-0.76,0.363
253,75693.88271474838,-0.647,0.452
254,75992.056858778,-0.233,0.629
255,76289.37868595123,-0.185,0.963
256,76587.75077438354,-0.363,0.451
257,76885.53194832802,-0.483,0.667
258,77182.9569952488,-0.465,0.413
259,77483.9303059578,-0.48,0.693
260,77781.68414330482,-0.435,0.499
261,78079.21373224258,-0.455,0.98
262,78377.38255119324,-0.81,0.572
263,78675.24442243576,-0.58,0.532
264,78973.25280117989,-0.415,1.027
265,79274.00505781174,0.05,0.104
266,79571.98537778854,-0.198,0.559
267,79869.3074684143,-0.715,0.432
268,80167.42470526695,-0.268,0.667
269,80464.68814945221,-0.212,1.031
270,80761.87898659706,0.095,0.126
271,81062.4952685833,-1.278,1.176
272,81360.28295755386,-0.842,1.219
273,81657.68200993538,-1.19,0.587
274,81955.35157990456,-1.163,0.308
275,82252.80015540123,-0.222,0.516
276,82550.14305281639,-0.718,0.516
277,82850.61964607239,-0.18,0.47
278,83149.3141014576,-0.64,0.646
279,83446.69945979118,-0.58,0.515
280,83743.99341058731,-0.755,0.434
281,84041.62648010254,0.063,0.238
282,84340.31220388412,-1.01,0.182
283,84640.91529154778,-0.46,0.624
284,84939.11249494553,-0.897,0.533
285,85236.57210874557,-0.71,0.733
286,85534.41181540489,-0.873,0.511
287,85832.22830629349,-0.443,0.686
288,86129.4697458744,-0.297,0.567
289,86430.5528690815,-0.45,0.326
290,86728.22163414955,0.09,0.288
291,87025.36053085327,-0.072,0.126
292,87323.64033317566,-0.657,0.916
293,87621.48387384415,-0.81,0.597
294,87918.94925498962,-0.443,1.042
295,88220.48513698578,-0.455,0.789
296,88518.21633291245,-0.18,0.396
297,88815.83806991577,-0.665,0.616
298,89114.15734267235,-0.537,0.674
299,89411.85146713257,-0.353,0.508
300,89709.87537121773,-0.605,0.636
301,90010.73233485222,-0.35,0.567
302,90308.43197584152,-0.52,0.517
303,90606.03403639793,-0.177,0.638
304,90903.78441023827,-0.472,0.796
305,91202.68406152725,-0.105,0.249
306,91503.67126083374,-0.545,0.66
307,91806.87345528603,-0.535,0.677
308,92106.91345238686,-0.607,0.601
309,92407.54342556,-0.078,0.568
310,92708.63743376732,-0.477,1.029
311,93009.66734337807,-0.43,0.427
312,93310.21789240837,-0.525,0.547
313,93613.95862865448,-0.373,0.656
314,93913.91196656227,0.06,0.209
315,94215.24598884583,-0.738,0.238
316,94515.7821302414,-1.355,0.46
317,94817.05404233932,-0.74,0.747
318,95118.7604341507,-0.0,0.148
319,95422.33487033844,-1.215,0.374
320,95723.52008605003,-0.372,0.557
321,96024.65220832825,-0.802,0.824
322,96326.08503460884,-0.76,0.573
323,96627.1746776104,-0.55,0.359
324,96928.34663295746,-0.53,0.709
325,97231.92669606209,-1.095,1.133
326,97533.32225394249,-0.532,0.623
327,97834.62784934044,-0.21,0.387
328,98135.714605093,-0.835,0.574
329,98437.64534950256,-1.57,1.542
330,98738.84745430946,-0.958,0.496
331,99042.0582370758,-0.74,0.646
332,99342.91517210007,-0.52,0.658
333,99643.75254821777,-0.193,0.411
334,99944.97960782051,-0.465,0.729
335,100245.82575321198,-0.698,0.512
