,time,reward_mean,reward_std
0,2.622,14.708,30.752
1,2.386,206.7,136.066
2,2.428,209.5,147.582
3,2.497,160.5,186.636
4,2.393,286.5,103.966
5,2.347,286.5,110.349
6,2.459,286.5,110.349
7,2.525,292.0,98.346
8,2.544,292.0,98.346
9,2.589,291.5,98.389
10,2.577,291.5,98.389
11,2.562,291.75,98.348
12,2.522,291.75,97.92
13,2.451,292.0,98.346
14,2.483,292.0,98.346
15,2.444,293.5,97.961
16,2.505,134.75,30.17
17,2.475,228.24,64.587
18,2.456,214.25,156.474
19,2.467,245.25,38.526
20,2.403,237.95,171.898
21,2.411,263.24,178.568
22,2.294,264.0,69.628
23,2.412,135.968,72.783
24,2.505,177.863,162.952
25,2.527,324.0,34.225
26,2.442,154.49,97.666
27,2.442,177.08,48.962
28,2.446,264.27,25.761
29,2.494,225.0,151.036
30,2.485,301.5,18.339
31,2.526,301.75,18.608
32,2.432,302.75,18.392
33,2.499,244.21,144.256
34,2.414,309.0,57.66
35,2.384,308.75,56.73
36,2.439,310.5,57.21
37,2.439,347.0,63.309
38,2.521,171.857,106.979
39,2.399,90.937,118.48
40,2.441,246.463,45.665
41,2.465,203.252,191.951
42,2.501,100.748,58.225
43,2.446,113.25,89.916
44,2.513,175.135,155.137
45,2.32,237.0,120.25
46,2.454,172.562,136.482
47,2.456,224.5,143.89
48,2.434,171.212,125.157
49,2.461,124.5,83.624
50,2.434,227.43,118.378
51,2.595,274.75,49.033
52,2.395,209.75,107.146
53,2.407,324.0,179.666
54,2.344,95.863,16.973
55,2.421,217.0,65.574
56,2.375,171.707,99.319
57,2.454,213.597,134.281
58,2.5,238.5,75.637
59,2.506,318.75,168.098
60,2.499,308.22,96.907
61,2.419,273.93,57.461
62,2.453,271.787,98.499
63,2.478,131.975,122.549
64,2.436,148.017,104.798
65,2.439,186.205,133.413
66,2.454,293.25,53.15
67,2.402,274.5,91.57
68,2.444,173.705,82.232
69,2.547,288.982,55.343
70,2.389,298.875,88.448
71,2.59,307.25,42.641
72,2.517,316.285,95.83
73,2.41,247.42,150.544
74,2.496,230.822,44.648
75,2.457,277.5,28.302
76,2.518,183.712,100.735
77,2.369,150.0,22.978
78,2.451,203.375,66.624
79,2.505,337.89,73.471
80,2.495,303.258,179.704
81,2.455,277.195,87.596
82,2.447,302.5,43.317
83,2.438,314.5,34.472
84,2.454,314.5,34.472
85,2.568,313.5,34.472
86,2.41,314.25,34.384
87,2.48,313.75,33.925
88,2.469,313.25,34.789
89,2.437,244.675,146.823
90,2.43,300.25,45.103
91,2.453,299.75,45.654
92,2.582,299.75,45.434
93,2.469,299.5,45.266
94,2.483,300.0,45.424
95,2.49,300.0,45.203
96,2.54,299.75,45.654
97,2.477,299.5,45.266
98,2.488,299.5,45.266
99,2.517,299.75,45.434
100,2.527,300.0,44.714
101,2.499,324.25,21.685
102,2.429,325.25,22.142
103,2.452,275.438,81.91
104,2.436,320.0,14.583
105,2.507,320.5,14.708
