,time,reward_mean,reward_std
0,2.622,14.708,30.752
1,2.386,206.7,136.066
2,2.428,209.5,147.582
3,2.497,160.5,186.636
4,2.393,286.5,103.966
5,2.347,286.5,110.349
6,2.459,286.5,110.349
7,2.525,292.0,98.346
8,2.544,292.0,98.346
9,2.589,291.5,98.389
10,2.577,291.5,98.389
11,2.562,291.75,98.348
12,2.522,291.75,97.92
13,2.451,292.0,98.346
14,2.483,292.0,98.346
15,2.444,293.5,97.961
16,2.505,134.75,30.17
17,2.475,228.24,64.587
18,2.456,214.25,156.474
19,2.467,245.25,38.526
20,2.403,237.95,171.898
21,2.411,263.24,178.568
22,2.294,264.0,69.628
23,2.412,135.968,72.783
24,2.505,177.863,162.952
25,2.527,324.0,34.225
26,2.442,154.49,97.666
27,2.442,177.08,48.962
28,2.446,264.27,25.761
29,2.494,225.0,151.036
30,2.485,301.5,18.339
31,2.526,301.75,18.608
32,2.432,302.75,18.392
33,2.499,244.21,144.256
34,2.414,309.0,57.66
