,time,reward_mean,reward_std
0,2.579,7.717,3.724
1,2.44,4.172,1.269
2,2.442,5.866,4.341
3,2.458,6.722,3.736
4,2.4,8.839,3.701
5,2.395,10.738,1.94
6,2.457,8.039,2.585
7,2.403,12.025,2.341
8,2.342,12.752,1.359
9,2.327,13.703,0.616
10,2.434,12.136,2.369
11,2.419,13.787,1.966
12,2.477,15.135,0.534
13,2.458,15.283,0.605
14,2.423,15.125,0.265
15,2.43,14.915,0.974
16,2.398,13.865,0.875
17,2.48,13.739,1.859
18,2.419,14.976,0.643
19,2.405,15.174,0.206
20,2.399,15.64,0.267
21,2.448,14.834,0.516
22,2.445,14.753,0.893
23,2.409,14.552,1.795
24,2.471,15.389,0.261
25,2.294,14.228,2.38
26,2.424,15.479,0.148
27,2.523,14.86,1.208
28,2.499,15.026,0.67
29,2.398,14.99,1.049
30,2.436,15.37,0.403
31,2.473,14.913,0.66
32,2.342,15.205,0.287
33,2.356,13.925,1.683
34,2.347,14.86,1.559
35,2.46,13.174,1.632
36,2.44,15.4,0.287
37,2.35,15.522,0.102
38,2.387,15.668,0.122
39,2.445,15.484,0.165
40,2.425,14.724,1.29
41,2.288,14.802,1.544
42,2.492,15.655,0.12
43,2.489,15.305,0.18
44,2.418,15.02,0.833
45,2.378,14.992,0.806
46,2.397,15.152,1.057
47,2.326,15.542,0.226
48,2.351,15.581,0.165
49,2.449,15.447,0.13
50,2.35,15.025,0.777
51,2.354,15.52,0.33
52,2.446,15.593,0.06
53,2.284,14.25,2.158
54,2.501,15.646,0.4
55,2.44,15.461,0.525
56,2.488,15.38,0.244
57,2.465,15.32,0.152
58,2.46,15.183,0.758
59,2.441,14.474,2.236
60,2.464,15.446,0.228
61,2.389,15.651,0.052
62,2.534,15.807,0.046
63,2.381,15.581,0.058
64,2.447,15.155,0.794
65,2.435,15.471,0.221
66,2.269,14.644,1.187
67,2.336,15.295,0.582
68,2.414,14.992,1.331
69,2.398,15.622,0.16
70,2.425,15.504,0.464
71,2.471,13.9,0.583
72,2.547,15.369,0.162
73,2.438,15.008,0.632
74,2.3,15.674,0.229
75,2.486,13.512,2.626
76,2.453,15.788,0.137
77,2.443,15.586,0.164
78,2.35,14.414,1.838
79,2.466,15.732,0.292
80,2.353,15.619,0.135
81,2.491,15.512,1.094
82,2.378,15.626,0.06
83,2.47,14.64,1.017
84,2.497,15.446,0.245
85,2.353,14.937,1.055
86,2.432,15.486,0.52
87,2.32,15.061,0.773
88,2.43,14.932,1.576
89,2.483,15.592,0.128
90,2.367,15.633,0.13
91,2.377,13.606,1.631
92,2.466,14.988,0.917
93,2.395,15.758,0.218
94,2.483,14.906,1.16
95,2.307,15.581,0.095
96,2.431,15.559,0.029
97,2.378,14.811,1.408
98,2.409,15.131,0.615
99,2.4,15.54,0.107
100,2.322,15.559,0.085
101,2.347,14.866,0.913
102,2.401,15.564,0.228
103,2.439,14.421,1.504
104,2.382,15.783,0.253
105,2.389,15.583,0.34
106,2.426,15.114,0.839
107,2.449,15.679,0.454
108,2.344,15.771,0.365
109,2.439,14.134,1.831
110,2.393,15.579,0.216
111,2.391,15.491,0.308
112,2.436,15.762,0.183
113,2.35,14.977,0.782
114,2.427,15.616,0.056
115,2.352,14.575,2.363
116,2.441,15.485,0.305
117,2.452,14.838,1.051
118,2.453,15.338,0.602
119,2.358,15.553,0.288
120,2.356,15.417,0.185
121,2.358,15.512,0.141
122,2.442,15.334,0.443
123,2.428,15.651,0.147
124,2.408,15.023,0.601
125,2.454,15.379,0.419
