,time,reward_mean,reward_std
0,67.83248138427734,-0.82,0.639
1,373.53002738952637,-0.47,0.754
2,673.770486831665,-0.85,0.328
3,974.196191072464,-0.603,0.803
4,1273.7744510173798,-0.705,0.451
5,1573.334532737732,-0.4,0.519
6,1873.1361804008484,-0.285,0.503
7,2176.267381668091,-0.013,0.021
8,2475.9362304210663,-0.5,0.514
9,2776.14621591568,-0.973,0.163
10,3076.5385823249817,-0.497,0.629
11,3377.398197412491,0.07,0.136
12,3677.764460325241,-0.708,0.796
13,3980.424165725708,-0.057,0.428
14,4280.475077629089,-0.833,0.334
15,4581.071778297424,-0.568,0.565
16,4881.771306753159,-0.725,0.599
17,5181.949682474136,-0.272,0.592
18,5482.376074790955,-1.203,0.801
19,5785.413442134857,-0.51,0.708
20,6085.625267505646,-0.54,0.799
21,6385.480590105057,-0.323,0.432
22,6685.763392925262,-0.765,0.594
23,6985.597797632217,-0.555,0.646
24,7286.935145378113,-0.527,0.623
25,7589.573588609695,-0.568,0.526
26,7890.190549612045,-0.365,0.758
27,8190.133708000183,-0.79,0.842
28,8490.50131893158,-0.435,0.703
29,8790.755111694336,-1.185,1.07
30,9090.90720820427,-0.85,0.774
31,9394.430122613907,-0.773,0.861
32,9694.752284526825,-1.177,0.586
33,9994.821135759354,-0.57,0.441
34,10294.509917974472,-0.705,0.492
35,10595.183169841766,-0.145,0.445
36,10893.46797156334,-0.422,0.722
37,11195.113292455673,-0.777,1.004
38,11494.35737657547,-0.053,0.124
39,11792.670098543167,-0.367,0.856
40,12090.225519657135,-0.118,0.538
41,12388.238572359085,-0.76,0.785
42,12686.246557712555,-0.645,0.957
43,12987.856755971909,-0.297,0.413
44,13285.786896467209,-0.578,0.617
45,13584.123321771622,-0.432,0.619
46,13882.157891750336,-0.138,0.288
47,14180.232963085175,-0.973,0.724
48,14477.89228630066,-0.307,0.441
49,14779.49274277687,-0.305,0.524
50,15077.85380911827,-0.238,0.402
51,15376.483598709106,-0.15,0.137
52,15674.938133001328,-0.8,0.639
53,15972.131568908691,-0.402,0.529
54,16270.640990018845,-0.068,1.3
55,16571.63606762886,-0.13,0.371
56,16869.612194538116,-0.62,0.641
57,17168.231395959854,-0.182,0.62
58,17466.07662653923,-0.782,0.761
59,17764.094124555588,-0.455,0.371
60,18061.467481851578,-0.405,0.509
61,18361.801848888397,0.06,0.925
62,18659.263242959976,-0.432,0.443
63,18957.494050979614,-0.145,0.654
64,19254.763550519943,-0.975,0.206
65,19552.756057739258,-0.593,0.581
66,19850.488747119904,-1.363,0.874
67,20150.67627930641,-0.79,0.639
68,20448.449335575104,-0.698,0.642
69,20746.312832593918,-0.228,0.386
70,21044.22584605217,-0.763,0.35
71,21342.39944434166,-1.077,0.141
72,21640.005723953247,-1.29,0.933
73,21940.470536231995,-1.005,0.198
74,22238.5392203331,-0.9,0.957
75,22536.08418059349,-0.623,0.806
76,22833.70658802986,-0.175,0.639
77,23132.347343444824,-0.065,0.582
78,23430.326625585556,-0.312,0.555
79,23730.924944639206,-0.79,0.865
80,24029.71607899666,-0.6,0.378
81,24327.118554592133,-0.33,0.48
82,24625.131784677505,-0.555,0.517
83,24923.02980685234,-0.833,0.568
84,25221.451450824738,-0.688,0.503
85,25521.837949037552,-0.96,0.844
86,25819.95602631569,-0.858,0.337
87,26118.181867599487,-1.058,0.184
88,26415.993857622147,-0.522,0.47
89,26713.370446681976,-0.27,0.474
90,27011.572506666183,-0.107,0.524
91,27312.023391723633,-0.65,0.704
92,27609.990021705627,-0.497,0.565
93,27907.942051887512,-0.548,0.652
94,28205.69204235077,-0.463,0.563
95,28503.60219144821,-1.095,0.688
96,28801.53676891327,-0.8,0.392
97,29102.433220148087,-0.278,0.524
98,29400.622889518738,-0.78,0.583
99,29698.25577878952,-0.903,0.42
100,29996.00302028656,-0.708,0.38
101,30293.722553491592,-0.417,0.662
102,30591.39837360382,-0.94,0.901
103,30891.76484465599,-0.392,0.399
104,31190.08813381195,0.23,0.17
105,31488.21202802658,-1.042,0.095
106,31785.783108472824,-0.902,0.506
107,32083.786090373993,-0.412,0.522
108,32381.80638217926,-0.363,0.475
109,32682.3392932415,-0.268,0.467
110,32980.32028579712,-0.66,0.58
111,33278.71377038956,-0.108,0.155
112,33576.80473566055,-0.417,0.675
113,33875.274267435074,-0.55,0.545
114,34173.20713877678,-0.28,0.46
115,34474.26301193237,-0.665,0.58
116,34772.208683013916,-0.55,0.543
117,35070.19995570183,-0.235,0.274
118,35367.92201924324,0.148,0.254
119,35666.18529057503,0.013,0.192
120,35964.542486429214,-0.405,0.499
121,36265.83794569969,-0.682,0.642
122,36564.3855612278,-0.305,0.537
123,36862.724430799484,-0.487,0.452
124,37160.927651166916,-0.53,0.419
125,37459.789675951004,-0.885,0.278
126,37758.30594420433,-0.432,0.694
127,38059.49691033363,-0.467,0.511
128,38357.8376019001,-0.175,0.471
129,38656.63089323044,-0.812,0.29
130,38954.9433195591,-0.508,0.665
131,39253.21791911125,-0.958,1.428
132,39551.48369193077,-0.362,0.564
133,39852.63621044159,-0.215,0.346
134,40150.96751499176,-1.065,0.941
135,40448.73016476631,-0.34,0.827
136,40748.03011703491,-0.815,0.324
137,41045.96347117424,-0.683,0.617
138,41344.175733566284,-1.005,0.8
139,41645.438730716705,-0.565,0.785
140,41943.630786418915,-0.96,0.977
141,42241.717886686325,-0.808,0.701
142,42539.70408630371,-0.205,0.38
143,42838.55121946335,-0.225,0.399
144,43136.969341278076,-0.475,0.606
145,43437.88793230057,-0.55,0.614
146,43735.97788786888,-0.47,0.585
147,44033.751197338104,-0.08,0.168
148,44331.886987924576,-0.75,0.552
149,44629.859402656555,-0.593,0.615
150,44928.71314954758,0.005,0.224
151,45229.36665272713,-0.235,0.488
152,45527.802644491196,-0.525,0.669
153,45826.36009764671,-1.005,0.091
154,46124.34596514702,-0.24,0.373
155,46421.9469730854,-0.493,0.554
156,46720.48731446266,-0.483,0.642
157,47021.01892256737,-0.192,0.625
158,47319.08938121796,-0.17,0.495
159,47617.49494552612,-0.258,0.547
160,47916.2116651535,-0.465,0.664
161,48214.07014656067,-0.69,0.858
162,48512.590373277664,-0.068,0.605
163,48813.218303442,-0.735,0.572
164,49111.428720235825,-0.318,0.571
165,49409.788593530655,-0.503,0.709
166,49708.477932453156,-0.235,0.521
167,50006.78763747215,-0.135,0.994
168,50304.58544778824,-0.43,0.705
169,50605.58148980141,-0.308,1.259
