,time,reward_mean,reward_std
0,192.26409077644348,0.162,0.683
1,1111.2760150432587,-0.102,1.008
2,2032.087874174118,-0.105,0.582
3,2947.824096918106,-0.925,0.824
4,3866.1619675159454,-0.06,1.115
5,4788.883043527603,0.113,0.624
6,5715.061179637909,-0.425,0.565
7,6646.892055749893,0.295,0.129
8,7568.147109746933,0.712,0.548
9,8492.001954317093,-1.5,0.578
10,9409.417350769043,-0.115,0.986
11,10332.138486623764,0.423,0.484
12,11257.655163764954,0.11,0.084
13,12193.50836110115,0.218,0.711
14,13111.35322189331,-0.322,0.637
15,14033.03668165207,-0.328,0.629
16,14948.922695159912,-0.075,0.552
17,15873.322520256042,-0.027,0.556
18,16787.19997692108,-0.03,0.485
19,17717.16651558876,-0.142,0.477
20,18639.237507104874,-0.542,0.409
