,time,reward_mean,reward_std
0,2.579,7.717,3.724
1,2.44,4.172,1.269
2,2.442,5.866,4.341
3,2.458,6.722,3.736
4,2.4,8.839,3.701
5,2.395,10.738,1.94
6,2.457,8.039,2.585
7,2.403,12.025,2.341
8,2.342,12.752,1.359
9,2.327,13.703,0.616
10,2.434,12.136,2.369
11,2.419,13.787,1.966
12,2.477,15.135,0.534
13,2.458,15.283,0.605
14,2.423,15.125,0.265
15,2.43,14.915,0.974
16,2.398,13.865,0.875
17,2.48,13.739,1.859
18,2.419,14.976,0.643
19,2.405,15.174,0.206
20,2.399,15.64,0.267
21,2.448,14.834,0.516
22,2.445,14.753,0.893
23,2.409,14.552,1.795
24,2.471,15.389,0.261
25,2.294,14.228,2.38
26,2.424,15.479,0.148
27,2.523,14.86,1.208
28,2.499,15.026,0.67
